Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,KURUM_AKD_SKOR,FinalSkorPlus,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,Analiz_Tarihi_str,Alis_Fiyati_AnalizGunu,Max_Getiri_%,Getiri_1Hafta_Sonu_%,Zirve_Kayip_%,Fiyat_EnYuksek_5Gun,Fiyat_EnDusuk_5Gun,Max_Getiri_5Gun_%,Gun_EnYuksek,Gun_EnDusuk,Max_Getiri_15Gun_%,Getiri_15Gun_Sonu_%,Zirve_Kayip_15Gun_%,Fiyat_EnYuksek_15Gun,Fiyat_EnDusuk_15Gun,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,Top_Grup,Top_Grup_15Gun
ACSEL,2025-09-29,114.0,-50,0,4,0,125.06,120.57,-0.42,0.66,0,39.19,23.25,-147069.0,113.01,122.49,131.98,15.49,1,17.89,17.21,0,0,1,0,1,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,106.29,121.71,-5.63,-9.95,30631724,0.0,2.41,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.51%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 106.29, TP: 121.71 | 1H:%-5.63 | 1A:%-9.95",2,6.76,0,0,1,0,0,-17.89,-17.21,-147069.0,0,-7.24,121428551.11,29142597.14,True,-0.02,-0.03,False,0.0,3.0,1.0,False,0.02,0.11,645586740.4,AKD nötr/negatif,16.0,8.76,18.81,4.17,-0.02,2025-09-29,114.0,1.9298245614035112,-6.7543859649122835,8.519793459552501,116.2,106.3,1.9298245614035112,2,5,1.9298245614035112,-3.070175438596491,4.9053356282271965,116.2,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ADEL,2025-09-29,31.52,-50,0,4,0,34.1,33.61,-0.63,-0.43,0,36.82,18.65,-1196617.0,30.99,33.6,36.21,15.54,1,22.14,31.41,0,100,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,29.31,33.73,-4.48,-14.97,91049248,0.0,5.99,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.67%) | Gelişmiş Cup & Handle | ATR STOP: 29.31, TP: 33.73 | 1H:%-4.48 | 1A:%-14.97",2,7.01,0,0,1,0,0,-22.14,-31.41,-1196617.0,0,-15.73,282825307.67,138659934.0,True,-0.02,0.01,False,0.0,3.0,1.0,False,0.01,0.06,2495038527.64,AKD nötr/negatif,16.0,0.27,11.34,2.04,-0.01,2025-09-29,31.52,-0.3172588832487242,-3.3629441624365444,3.0553787396562724,31.42,30.46,-0.3172588832487242,1,5,-0.3172588832487242,-8.185279187817255,7.893061744112032,31.42,28.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ADGYO,2025-09-29,50.1,-50,0,4,0,54.9,52.81,2.39,3.67,0,46.21,47.97,-959817.0,45.51,53.45,61.39,29.7,1,87.5,15.44,0,0,1,0,1,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,46.23,53.97,-14.65,12.53,90169822,14.396551,1.76,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.16%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 46.23, TP: 53.97 | 1H:%-14.65 | 1A:%12.53",3,7.72,0,0,1,0,0,-87.5,-15.44,-959817.0,0,-73.59,1593031360.88,75500689.0,True,0.13,0.05,True,3.0,3.0,3.0,False,0.0,0.04,4785770545.75,AKD pozitif (1g norm),56.0,-17.59,33.29,21.1,0.1,2025-09-29,50.1,2.3952095808383147,0.998003992015968,1.3645224171539878,51.3,48.62,2.3952095808383147,2,4,3.592814371257479,-5.868263473053902,9.132947976878617,51.9,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
AFYON,2025-09-29,12.97,-50,0,4,0,13.55,13.58,-0.15,-0.12,0,36.58,18.77,-2291081.0,12.77,13.49,14.2,10.56,0,10.48,19.94,0,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,12.4,13.54,-6.15,-8.21,41042029,24.018518,0.79,"ATR Oranı düşük (2.91%) | ATR STOP: 12.4, TP: 13.54 | 1H:%-6.15 | 1A:%-8.21",0,4.39,0,0,0,0,0,-10.48,-19.94,-2291081.0,0,-10.83,929210068.92,53264680.29,True,-0.08,0.05,False,0.0,3.0,1.0,False,0.0,0.05,2730161240.3,AKD nötr/negatif,16.0,5.17,34.03,17.45,-0.04,2025-09-29,12.97,1.3107170393215106,-0.6939090208172695,1.9786910197869083,13.14,12.72,1.3107170393215106,2,4,1.3107170393215106,-3.3153430994603044,4.566210045662111,13.14,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
AGROT,2025-09-29,7.78,-50,0,4,0,7.91,8.02,-0.01,-0.01,0,43.87,13.34,-12546426.0,7.49,7.97,8.45,12.01,0,16.12,48.44,0,100,1,0,1,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,7.35,8.21,-3.95,-3.95,151684582,0.0,1.28,"ATR Oranı düşük (3.68%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 7.35, TP: 8.21 | 1H:%-3.95 | 1A:%-3.95",3,5.53,0,0,1,0,0,-16.12,-48.44,-12546426.0,0,-12.45,1125153920.18,123792945.86,True,0.17,0.03,True,4.0,3.0,4.0,False,0.01,0.13,3199429054.0,AKD pozitif (1g norm),57.0,44.55,35.17,9.09,0.13,2025-09-29,7.78,1.2853470437017949,-3.3419023136246873,4.56852791878173,7.88,7.41,1.2853470437017949,1,4,1.2853470437017949,-6.940874035989718,8.121827411167509,7.88,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
AHGAZ,2025-09-29,30.16,-50,0,4,0,32.9,32.76,-0.65,-0.16,0,35.29,27.26,-4398939.0,30.08,33.53,36.97,20.56,1,102.55,17.14,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,1,0,0,28.23,32.09,-6.68,-11.81,185666574,77.333336,1.88,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.26%) | Gelişmiş Cup & Handle | ATR STOP: 28.23, TP: 32.09 | 1H:%-6.68 | 1A:%-11.81 | Confirmed SELL (alphaTrend teyidi)",1,6.4,0,0,1,0,0,-102.55,-17.14,-4398939.0,0,-99.33,6853195052.39,232623554.86,True,-0.18,-0.01,False,-5.0,3.0,-2.0,True,0.0,0.02,16269965840.96,AKD/Taban veto,-88.0,-187.33,42.12,29.46,-0.13,2025-09-29,30.16,-3.2493368700265264,-3.2493368700265264,0.0,29.18,27.56,-3.2493368700265264,5,4,-3.2493368700265264,-17.374005305039784,14.599040438656608,29.18,24.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
AHSGY,2025-09-29,41.24,-50,0,4,0,42.12,41.38,1.93,2.92,0,52.71,32.18,-1051686.0,36.75,42.02,47.29,25.08,1,135.66,15.11,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,36.81,45.67,-2.14,3.2,87727696,5.6648355,1.47,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.16%) | Gelişmiş Cup & Handle | ATR STOP: 36.81, TP: 45.67 | 1H:%-2.14 | 1A:%3.2",3,10.74,0,0,1,0,0,-135.66,-15.11,-1051686.0,0,-121.82,1751342978.36,89830693.29,True,-0.11,-0.04,False,-4.0,3.0,-1.0,False,0.02,0.12,2088757717.78,AKD nötr/negatif,-25.0,-146.82,83.85,19.5,-0.09,2025-09-29,41.24,4.267701260911731,4.267701260911731,0.0,43.0,41.0,4.267701260911731,5,4,6.644034917555758,3.4432589718719555,3.001364256480219,43.98,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
AKENR,2025-09-29,10.75,0,0,0,0,10.83,11.0,-0.06,-0.08,1,43.73,12.99,-4005464.0,10.1,10.83,11.57,13.55,0,21.47,25.24,0,100,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,10.22,11.28,-2.63,-3.5,111424998,0.0,0.51,"ATR Oranı düşük (3.26%) | Gelişmiş Cup & Handle | ATR STOP: 10.22, TP: 11.28 | 1H:%-2.63 | 1A:%-3.5",2,4.93,0,0,1,0,0,-21.47,-25.24,-4005464.0,0,-15.65,24179814.67,202806168.57,False,0.1,0.03,True,3.0,0.0,2.0,False,0.02,0.11,2066591637.66,AKD pozitif (1g norm),32.0,16.35,1.17,0.12,0.08,2025-09-29,10.75,-0.37209302325580607,-1.3953488372093057,1.0270774976657442,10.71,10.44,-0.37209302325580607,1,4,-0.37209302325580607,-6.511627906976737,6.162464985994399,10.71,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
AKFGY,2025-09-29,2.72,0,0,0,0,2.77,2.74,-0.04,-0.05,1,47.0,15.9,34764564.0,2.59,2.7,2.81,8.28,0,55.43,11.11,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,2.56,2.88,1.12,-11.11,184090253,11.333334,0.46,"ATR Oranı düşük (3.91%) | Gelişmiş Cup & Handle | ATR STOP: 2.56, TP: 2.88 | 1H:%1.12 | 1A:%-11.11",3,5.88,0,0,1,0,0,-55.43,-11.11,34764564.0,0,-37.85,2568504099.12,151342591.43,True,0.41,0.08,True,4.0,3.0,4.0,False,0.01,0.06,4845400876.69,AKD pozitif (1g norm),64.0,26.15,53.01,16.97,0.31,2025-09-29,2.72,-1.1029411764705974,-4.779411764705895,3.7174721189591113,2.69,2.58,-1.1029411764705974,1,4,-1.1029411764705974,-7.720588235294132,6.6914498141264005,2.69,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
AKFIS,2025-09-29,22.8,0,0,0,0,23.05,23.38,0.02,-0.0,1,43.32,19.31,-1583684.0,21.94,23.13,24.32,10.31,0,26.11,34.56,0,100,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,21.82,23.78,-4.12,-5.79,64515611,8.382353,0.53,"ATR Oranı düşük (2.86%) | Gelişmiş Cup & Handle | ATR STOP: 21.82, TP: 23.78 | 1H:%-4.12 | 1A:%-5.79",2,4.3,0,0,1,0,0,-26.11,-34.56,-1583684.0,0,-20.7,2275865113.51,64610494.29,True,0.21,0.06,True,4.0,3.0,4.0,False,0.01,0.09,1609119776.88,AKD pozitif (1g norm),68.0,47.3,141.44,35.22,0.17,2025-09-29,22.8,0.5263157894736885,-2.1052631578947385,2.617801047120425,22.92,22.26,0.5263157894736885,1,4,6.9298245614035014,6.9298245614035014,0.0,24.38,20.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
